timestamp,open,high,low,close,volume
2017-11-01,1.5,2.1997,0.5,1.95,8492160.3
2017-12-01,1.95,11.3,1.8801,8.53,33765828.42
2018-01-01,8.5478,25.18,7.8,11.3131,78474425.46
2018-02-01,11.3131,11.8461,5.5233,10.4536,66521989.14
2018-03-01,10.4641,14.9444,7.06,11.051,109334954.29
2018-04-01,11.0599,15.9,10.3002,14.3291,110473101.32
2018-05-01,14.3271,16.276,11.611,14.2,60288703.5
2018-06-01,14.1919,17.4767,13.3419,14.6851,77082556.31
2018-07-01,14.7344,14.8886,11.6358,13.8369,47280615.05
2018-08-01,13.8384,14.47,8.5318,10.9899,35960999.01
2018-09-01,10.9897,11.5886,9.01,10.0172,25900298.74
2018-10-01,10.0172,11.0,9.22,9.4807,36051776.83
2018-11-01,9.4837,9.9776,4.532,5.115,25284154.31
2018-12-01,5.1122,6.62,4.12,6.1111,49444485.12
2019-01-01,6.1139,7.2157,5.3733,6.22,72126339.77
2019-02-01,6.225,11.2951,6.1172,10.2779,110685041.86
2019-03-01,10.2777,17.7386,10.2067,17.5376,115379333.44
2019-04-01,17.5201,25.4973,16.2501,22.0391,83676534.62
2019-05-01,22.03,35.4888,18.3,32.8862,104145121.86
2019-06-01,32.916,39.5941,28.7168,32.114,93155800.74
2019-07-01,32.1141,34.3839,24.1709,27.75,71835825.11
2019-08-01,27.7348,31.8791,20.8857,21.0604,43730003.73
2019-09-01,21.0602,23.5213,14.2555,15.8349,44740437.45
2019-10-01,15.8493,21.2378,14.8555,19.9099,53481014.91
2019-11-01,19.9087,21.8,13.88,15.7118,46441747.1
2019-12-01,15.703,15.88,12.1111,13.7161,38189582.55
2020-01-01,13.7159,18.88,12.98,18.2644,51701909.53
2020-02-01,18.2644,27.1905,17.7051,19.23,80993103.39
2020-03-01,19.2481,21.7628,6.38,12.5451,137539733.73
2020-04-01,12.5497,18.1377,11.96,16.9542,118041230.55
2020-05-01,16.951,18.1954,13.9129,17.0916,83664305.36
2020-06-01,17.0926,18.2,14.8,15.3838,51987798.59
2020-07-01,15.3959,20.855,15.0743,20.6615,69123483.1
2020-08-01,20.6637,23.91,19.1,23.1477,77626733.03
2020-09-01,23.1481,33.3888,18.011,29.2656,145525582.494
2020-10-01,29.2696,32.3788,25.6652,28.5058,81019994.543
2020-11-01,28.5058,35.4338,25.7499,31.4935,80529464.344
2020-12-01,31.4935,39.9999,26.7273,37.3588,81889998.06
2021-01-01,37.3596,47.2187,35.0374,44.3292,108685854.137
2021-02-01,44.3291,348.6969,43.4331,210.2138,232104898.346
2021-03-01,210.1177,316.6997,209.1204,302.3724,120847150.586
2021-04-01,302.4591,638.5673,300.7,622.65,128716600.9215
2021-05-01,622.64,691.77,211.7,353.33,134587758.88
