timestamp,open,high,low,close,volume
2021-05-01,1.412e-05,5e-05,6.3e-06,9.28e-06,1133193282677764.0
2021-06-01,9.28e-06,1.049e-05,5.51e-06,8.82e-06,801652599182058.0
2021-07-01,8.82e-06,9.33e-06,5.7e-06,6.25e-06,311249479682305.0
2021-08-01,6.25e-06,9.48e-06,6.11e-06,6.86e-06,434350058008313.0
2021-09-01,6.86e-06,9.5e-06,5.1e-06,7.2e-06,459620043033890.0
2021-10-01,7.21e-06,8.854e-05,7.16e-06,6.697e-05,2095553140592139.0
2021-11-01,6.697e-05,7.494e-05,3.56e-05,4.744e-05,718933774461381.0
2021-12-01,4.745e-05,4.878e-05,2.824e-05,3.337e-05,340855963039313.0
2022-01-01,3.337e-05,3.445e-05,1.704e-05,2.142e-05,245905488235780.0
2022-02-01,2.143e-05,3.523e-05,2.013e-05,2.579e-05,360103385930492.0
2022-03-01,2.58e-05,2.966e-05,2.12e-05,2.585e-05,241144875688883.0
2022-04-01,2.584e-05,3e-05,1.837e-05,2.016e-05,225520243911453.0
2022-05-01,2.017e-05,2.215e-05,9.07e-06,1.173e-05,298954536928045.0
2022-06-01,1.174e-05,1.214e-05,7.14e-06,1.035e-05,244247358419834.0
2022-07-01,1.035e-05,1.315e-05,9.76e-06,1.17e-05,173268529235248.0
2022-08-01,1.17e-05,1.8e-05,1.145e-05,1.21e-05,262948594621813.0
2022-09-01,1.21e-05,1.395e-05,1e-05,1.131e-05,152313425012254.0
2022-10-01,1.131e-05,1.519e-05,9.24e-06,1.245e-05,179424116206135.0
2022-11-01,1.244e-05,1.366e-05,8.17e-06,9.35e-06,173841716328371.0
2022-12-01,9.35e-06,1.016e-05,7.78e-06,8.08e-06,73603109639214.0
2023-01-01,8.08e-06,1.294e-05,8e-06,1.181e-05,201243946532045.0
2023-02-01,1.182e-05,1.575e-05,1.13e-05,1.202e-05,194818559836802.0
2023-03-01,1.201e-05,1.243e-05,9.65e-06,1.083e-05,142221817267469.0
2023-04-01,1.083e-05,1.188e-05,9.72e-06,1.007e-05,94688437886169.0
2023-05-01,1.008e-05,1.02e-05,8.28e-06,8.59e-06,60290328019256.0
2023-06-01,8.58e-06,8.78e-06,5.43e-06,7.55e-06,92068180745757.0
2023-07-01,7.56e-06,8.78e-06,7.06e-06,8.46e-06,101573092749665.0
2023-08-01,8.46e-06,1.136e-05,7.25e-06,7.99e-06,192002709191422.0
2023-09-01,7.99e-06,8.05e-06,6.95e-06,7.34e-06,50200323634788.0
2023-10-01,7.33e-06,8.25e-06,6.61e-06,7.79e-06,84263935041858.0
2023-11-01,7.78e-06,9.65e-06,7.56e-06,8.3e-06,132127853697838.0
2023-12-01,8.29e-06,1.195e-05,8.25e-06,1.036e-05,203092201693816.0
2024-01-01,1.036e-05,1.092e-05,8.27e-06,8.94e-06,106159923709827.0
2024-02-01,8.95e-06,1.473e-05,8.78e-06,1.256e-05,171632038598741.0
2024-03-01,1.256e-05,4.567e-05,1.243e-05,3.074e-05,780208534992684.0
2024-04-01,3.074e-05,3.075e-05,1.83e-05,2.239e-05,214414370165607.0
2024-05-01,2.24e-05,2.945e-05,2.057e-05,2.543e-05,187415139520170.0
2024-06-01,2.543e-05,2.633e-05,1.632e-05,1.726e-05,91286399036472.0
2024-07-01,1.726e-05,2.017e-05,1.266e-05,1.592e-05,116995531228724.0
2024-08-01,1.593e-05,1.612e-05,1.078e-05,1.384e-05,90402676889924.0
2024-09-01,1.384e-05,2.169e-05,1.231e-05,1.757e-05,88539410999567.0
2024-10-01,1.756e-05,1.983e-05,1.548e-05,1.79e-05,116910334305527.0
2024-11-01,1.79e-05,3.046e-05,1.619e-05,2.673e-05,346625735226608.0
2024-12-01,2.673e-05,3.343e-05,1.853e-05,2.118e-05,260333992506867.0
2025-01-01,2.118e-05,2.497e-05,1.727e-05,1.89e-05,121426715455225.0
2025-02-01,1.889e-05,1.925e-05,1.16e-05,1.394e-05,99601623278219.0
2025-03-01,1.393e-05,1.567e-05,1.082e-05,1.238e-05,73827860629824.0
2025-04-01,1.238e-05,1.524e-05,1.028e-05,1.324e-05,58743530830084.0
2025-05-01,1.323e-05,1.765e-05,1.225e-05,1.281e-05,77297365873051.0
2025-06-01,1.281e-05,1.362e-05,1.004e-05,1.142e-05,43481881868102.0
2025-07-01,1.142e-05,1.597e-05,1.108e-05,1.244e-05,70717040852045.0
2025-08-01,1.244e-05,1.419e-05,1.16e-05,1.218e-05,49975159194779.0
2025-09-01,1.219e-05,1.484e-05,1.148e-05,1.182e-05,45119788378716.0
2025-10-01,1.182e-05,1.301e-05,6.78e-06,1.003e-05,48113991957783.0
2025-11-01,1.003e-05,1.035e-05,7.55e-06,8.37e-06,40464494509731.0
2025-12-01,8.37e-06,9.52e-06,7.85e-06,8.08e-06,15783751501148.0
